"X-axis","Y-axis","Link"
46.9995228715707,141.176847891882,0
42.5950172720477,143.483200327959,0
38.1905140613671,145.789555116557,0
33.7860132392962,148.095912253251,0
29.3815148058347,150.402271742933,0
129.915649556555,273.195650625275,0
132.281034434447,278.401250921423,0
134.428676110576,283.752054788405,0
136.412542683189,289.200770771829,0
138.260063367547,294.72326187673,0
139.986587028368,300.306578687392,0
141.598296276177,305.942539685639,0
142.794309212593,311.733903341927,0
143.600828173338,317.629636109108,1
144.116259580478,323.575831114547,1
144.421147209476,329.544100237079,1
138.360135820927,274.735031117918,1
140.165701552294,280.279465063242,1
142.164982627379,285.717807806795,1
144.466901770909,290.967992983758,1
146.651854350232,296.295032588067,1
148.522070893203,301.803621255094,1
149.812101373333,307.561959964456,1
150.680056440411,313.444280772237,1
151.245352969971,319.383252497297,1
151.572062440566,325.34945175238,1
