"X-axis","Y-axis","WP"
101.158107944881,-44.6155809452757,140
100.426695297705,-45.0141866686754,141
99.6952388660284,-45.4126660465263,142
98.9637823664816,-45.8111453591846,143
98.2322703953832,-46.2094644522294,144
97.5007456003223,-46.6077466141433,145
96.7692085243762,-47.005993390223,146
96.0376114622923,-47.4040667891968,147
95.3060143301263,-47.8021401260048,148
94.5743673212128,-48.2000692258589,149
93.8426840481116,-48.5978934993036,150
93.1109832375078,-48.9956670969259,151
92.3791839224286,-49.3931554481387,152
91.6473845372675,-49.7906437369529,153
90.9154060037108,-50.1876124679111,154
90.1832846537,-50.5841655062977,155
89.4506384127308,-50.9791903244332,156
88.7175463462481,-51.3729090031702,157
87.9841513512656,-51.7657402276527,158
87.2504111543531,-52.1575549708214,159
86.5166130424477,-52.5491992381867,160
85.7827174472623,-52.9405559168663,161
85.0488585132407,-53.3320209190715,162
84.3151190971257,-53.7238387495745,163
83.5815368231852,-54.116119250888,164
82.8482165208552,-54.5091709690169,165
82.1152703695698,-54.9033185574226,166
81.3826602017507,-55.2984502422623,167
80.650814698427,-55.6958040155005,168
79.9192669759505,-56.0940232153516,169
79.1892181532458,-56.4965492982883,170
78.4599481460173,-56.9012794129085,171
77.7321102782153,-57.3100601288024,172
76.9999472789932,-57.7064492339268,173
76.2630042503588,-58.0882910101209,174
75.5192426251015,-58.4491147045046,175
74.7686602789909,-58.7867583611514,176
74.0150880597066,-59.1137254543137,177
73.2569389007986,-59.4237315142527,178
72.4955399046885,-59.7207323503681,179
71.7323280075798,-60.0104234211613,180
