x,y,yaw
-114.635728052235,739.851797647309,-0.61316269689387
-113.253605733975,738.879285325529,-0.61316247477254
-111.871483094292,737.90677323658,-0.613162250276904
-110.489360128529,736.934261382092,-0.613162025520412
-109.1072368389,735.961749764159,-0.613161802948489
-107.725113227847,734.989238379989,-0.613161578864011
-106.342989290599,734.016727229347,-0.613161354823304
-104.9608650296,733.044216313865,-0.613161130219263
-103.578740444849,732.071705634706,-0.613160908582259
-102.196615538443,731.099195187213,-0.613160682774422
-100.814490306075,730.126684976975,-0.613160460163064
-99.4323647521669,729.154175000498,-0.613160236118435
-98.0502388721798,728.181665257551,-0.613160011362251
-96.6681126683252,727.209155751159,-0.613159789128657
-95.2859861430479,726.236646477832,-0.613159564368449
-93.9038592915749,725.26413743943,-0.613159341008186
-92.5217321186792,724.29162863642,-0.613159117076404
-91.1396046197042,723.319120066706,-0.613158892207719
-89.7574767968617,722.346611733781,-0.613158670385349
-88.3753486524802,721.374103632988,-0.613158445253901
-86.9932201821357,720.401595768053,-0.613158221624729
-85.6110913879238,719.429088137345,-0.613157997770245
-84.2289622698445,718.456580741331,-0.613157773621503
-82.8468328303425,717.484073582338,-0.613157550929376
-81.4647030647611,716.511566654081,-0.613157325722909
-80.0825729753124,715.53905996331,-0.613157325722909
-109.965599134564,744.988939458039,-0.61243397556271
-108.582966371323,744.017573595513,-0.612433751173874
-107.200333284563,743.046207969077,-0.612433527309205
-105.817699874169,742.074842577567,-0.612433302734548
-104.435066140373,741.103477422614,-0.612433079808661
-103.052432080731,740.132112499094,-0.612432855986571
-101.669797699898,739.16074781213,-0.612432632347534
-100.287162995432,738.189383359626,-0.612432408409894
-98.9045279674465,737.218019142281,-0.612432184923279
-97.5218926159432,736.246655159164,-0.612431960647465
-96.1392569409218,735.275291411905,-0.612431737270797
-94.7566209400538,734.30392789701,-0.612431512885173
-93.373984617996,733.332564619836,-0.612431291053172
-91.9913479746319,732.361201575026,-0.612431065232899
-90.6087110032095,731.389838766074,-0.612430842047995
-89.2260737104807,730.418476192281,-0.61243061856162
-87.8434360942338,729.447113852715,-0.612430394962532
-86.4607981544686,728.47575174761,-0.612430170686993
-85.0781598911854,727.504389878362,-0.612429946746865
-83.6955213020556,726.533028242644,-0.612429722925251
-82.3128823917359,725.561666843481,-0.612429499664544
-80.9302431578981,724.590305678081,-0.612429275800527
-79.5476036004257,723.618944747606,-0.612429052427141
-78.164963719435,722.647584051127,-0.61242882830416
-76.7823235150427,721.676223590272,-0.61242882830416
