"X-axis","Y-axis","Link"
-91.4847983082291,615.887546505546,0
-92.2473735499661,616.157108090119,0
-92.9921217797091,616.494459123118,0
-93.6588725668844,617.019299169537,0
-94.0489414911717,617.880372276297,0
-94.373456101981,618.788751253393,0
-94.687145062373,619.703185925493,0
-94.9962372739101,620.620105343405,0
-95.3030888127396,621.538220197195,0
-95.6097660880769,622.456427647499,0
-95.9231963159982,623.370971534401,0
-94.3869494397659,616.688139920123,1
-95.1354315398494,617.013519778382,1
-95.8635530879255,617.404514412629,1
-96.5482582196128,617.901729274774,1
-97.0381303079193,618.670173241524,1
-97.421375019243,619.54152182932,1
-97.7954413719708,620.419199737255,1
-98.1654621782946,621.299597467529,1
-98.533302159165,622.181444274029,1
-98.8999316343106,623.064090537373,1
-99.2661814263556,623.946986895753,1
-99.6347316139145,624.828358557541,1
-97.5559650388314,617.588807509281,2
-98.3158129997319,617.869115613401,2
-99.0449243085459,618.255945594748,2
-99.7096644324483,618.793811165961,2
-100.230731086573,619.535101408837,2
-100.660084335716,620.371586395195,2
-101.072779358365,621.221363131655,2
-101.477504751994,622.077208622592,2
-101.877265679068,622.936747316038,2
-102.273311546771,623.799008806935,2
-102.666116552427,624.663617605576,2
-103.054512485513,625.531374082202,2
-101.392141819117,618.55619121925,3
-102.143903028453,618.867880652892,3
-102.857825824991,619.297058824915,3
-103.510303343297,619.858196771937,3
-103.981149425148,620.651592513546,3
-104.370495396899,621.518547249259,3
-104.741237418493,622.398452953436,3
-105.103305085562,623.284072777489,3
-105.45918417268,624.173663985915,3
-105.809851383558,625.066531982739,3
-106.155026283581,625.962786622578,3
-104.928096064366,619.69036522531,4
-105.685716600507,619.979675844777,4
-106.398910867516,620.408261079807,4
-106.971918690368,621.083485692972,4
-107.376655585831,621.938605156029,4
-107.751191613614,622.815930220531,4
-108.115246553905,623.70025075064,4
-108.473479112843,624.588342627743,4
-108.828250359395,625.478638626169,4
-109.181317328825,626.37000984326,4
-109.536791414605,627.259856161429,4
-108.197185840691,620.657748935279,5
-108.953944759443,620.950209780596,5
-109.666014339891,621.382570534945,5
-110.284676658455,621.999755871948,5
-110.748209524434,622.804614528548,5
-111.158759501064,623.655978592811,5
-111.554886010475,624.518170637311,5
-111.94374047243,625.38560017501,5
-112.327819569153,626.25639889692,5
-112.708650414948,627.129458050709,5
-113.087841401924,628.003649067134,5
-111.833214267739,621.758564879186,6
-112.584914223873,622.070699607721,6
-113.294449111912,622.510289219441,6
-113.893605951918,623.148985245964,6
-114.299795215018,624.002460305579,6
-114.666767109884,624.884822285967,6
-115.021276311134,625.775266606361,6
-115.369071964757,626.669912490528,6
-115.713151879259,627.566839101492,6
-116.056203028536,628.464391639922,6
-115.169020163827,622.792664707871,7
-115.931621393538,623.06225243886,7
-116.679756455938,623.388315508142,7
-117.365544045577,623.878262832761,7
-117.796974650584,624.701794736087,7
-118.116539156181,625.612755381735,7
-118.409918766818,626.537804017775,7
-118.691081799101,627.468873982318,7
-118.964388001245,628.403661160963,7
-119.232557517709,629.340813910356,7
-119.499839674216,630.278368462809,7
-118.604900235776,623.793406475801,8
-119.372831860441,624.038059085142,8
-120.108928536531,624.395815816009,8
-120.650860011694,625.101958356798,8
-120.996212513419,625.997846069513,8
-121.312193807098,626.910960929235,8
-121.614581703907,627.831400992349,8
-121.909405638115,628.755743300077,8
-122.199839798268,629.682295541279,8
-122.488551848917,630.609704442089,8
-121.673841656419,624.727432127111,9
-122.426407573046,625.037412740057,9
-123.149471803801,625.441797351232,9
-123.809842085699,625.987660096958,9
-124.303062526626,626.75778657943,9
-124.68107622012,627.632286217296,9
-125.021669092006,628.531266173814,9
-125.346570085268,629.439445873024,9
-125.66291070194,630.352427340113,9
-125.977123006014,631.266578676645,9
-125.176437849179,625.761531952769,10
-125.930607682676,626.062530577416,10
-126.631559098954,626.522512602853,10
-127.235749419895,627.158797886455,10
-127.633817033609,628.016503710067,10
-127.960290588671,628.923663897906,10
-128.264474548982,629.843140858458,10
-128.556656883913,630.768811816582,10
-128.842524109641,631.697619178798,10
-129.130538935773,632.625365480315,10
-128.412169563235,626.795631780755,11
-129.171195421601,627.080454878043,11
-129.914705678588,627.423081088578,11
-130.610244733165,627.893656063825,11
-131.048143233173,628.709224598482,11
-131.359373361222,629.624848588836,11
-131.646713470691,630.552885422949,11
-131.920993167558,631.487209713552,11
-132.186891963356,632.42538699694,11
-132.447804390569,633.365791446529,11
-132.139054103172,627.945595781552,12
-132.901294526993,628.215667594457,12
-133.639622026007,628.574888307368,12
-134.32510651357,629.069675946608,12
-134.806761212298,629.843403667677,12
-135.115273582167,630.759843762266,12
