"X-axis","Y-axis","Link"
-102.25023079582,618.765040474478,0
-103.009637875599,619.230449207826,0
-103.65053791937,619.802495052572,0
-104.12171256484,620.475072339177,0
-104.471327785752,621.203540040646,0
-104.786469421699,621.943918883568,0
-105.033968907199,622.704167047748,0
-105.19952882838,623.483808728401,0
-105.349563309108,624.26642657537,0
-105.492738274974,625.050285126083,0
-105.630232772906,625.835138700437,0
-105.662032146123,626.480421475833,0
-105.171230798354,619.611707141856,1
-105.959552654997,620.044663277222,1
-106.616254364373,620.604467091849,1
-107.1432306387,621.249332691776,1
-107.538722068071,621.959828584688,1
-107.86769895209,622.695431132102,1
-108.122267055325,623.453899856657,1
-108.322903643595,624.226138364756,1
-108.494791569188,625.00450396724,1
-108.62478944636,625.79055606667,1
-108.741746374872,626.578781245044,1
-108.806431622244,627.284839920234,1
-108.854230801226,620.712373809191,2
-109.662083841744,621.124083356699,2
-110.274402051582,621.710558407474,2
-110.680440462078,622.416811192874,2
-111.02516759804,623.146761783399,2
-111.282249692944,623.904741816456,2
-111.505480670021,624.671624178998,2
-111.697976351134,625.445651166141,2
-111.871266900213,626.22377762082,2
-112.034974625683,627.003809080925,2
-112.171471659211,627.788726952393,2
-112.227146681282,628.548259022413,2
-111.775230803876,621.601373810321,3
-112.592321673525,622.002816516208,3
-113.305093704606,622.515949676512,3
-113.879665399552,623.132049466483,3
-114.210971352994,623.864667561837,3
-114.459798243246,624.624938749941,3
-114.678171487409,625.393003223697,3
-114.861476643127,626.168995027198,3
-115.02764801064,626.948546410771,3
-115.196326668491,627.727603477659,3
-115.359282995225,628.50778123294,3
-115.470089592622,629.221621998819,3
-115.585230806959,622.786707144231,4
-116.407144372002,623.182982819155,4
-117.112125248532,623.702367139282,4
-117.626908420236,624.354108711006,4
-118.022907660226,625.064119512448,4
-118.28553719155,625.819841025164,4
-118.478670596727,626.593760608928,4
-118.659883938381,627.37025165325,4
-118.830698366626,628.148875587387,4
-118.984805215965,628.930733531714,4
-119.127612016047,629.714648151072,4
-119.187534524943,630.481527549215,4
-118.590897476184,623.718040478416,5
-119.433411484933,624.087399317417,5
-120.141479752841,624.60292658722,5
-120.659577080864,625.252595675178,5
-121.086513460265,625.949702801416,5
-121.4230797895,626.682220001239,5
-121.671810470638,627.442532649962,5
-121.894779499271,628.209481694968,5
-122.065483874758,628.987973276991,5
-122.215446200105,629.770604524529,5
-122.356068176334,630.554907938233,5
-122.512486219988,631.386454930762,5
