X-axis,Y-axis,Link
-302.483365007909,545.0068752318621,0
-302.36277979402803,545.4629442284349,0
-302.26617121580057,545.9298285173718,0
-302.21470969263464,546.4118702635169,0
-302.26955671515316,546.9027199007105,0
-302.4614431390073,547.3513150063809,0
-302.78456231276505,547.67577440897,0
-303.1509865273256,547.914410874946,0
-303.5428877340164,548.0675539572258,0
-303.9079097979702,548.3121355483308,0
-304.23903658566996,548.6247306261212,0
-304.49570006807335,549.0268564906437,0
-304.56545415567234,549.5134843077976,0
-304.4325777068734,549.958280635532,0
-304.2042496819049,550.3358378347475,0
-303.95461267395876,550.6929984786548,0
-303.6963959487621,551.0405968450941,0
-303.4297759369947,551.3783420501277,0
-303.15512132062577,551.7061715030577,0
-302.87302290834486,552.0243499877397,0
-302.58435772382654,552.3336218898185,0
-302.29042228451,552.6354680221993,0
-301.99322537123226,552.9325919337571,0
-303.80912429559976,540.3932155747898,1
-303.68853908148594,540.8492845715955,1
-303.5919305034913,541.3161688602995,1
-303.5404689803254,541.7982106064446,1
-303.59531600261107,542.2890602441039,1
-303.7872024264652,542.7376553493086,1
-304.11032160022296,543.0621147516649,1
-304.4767458147835,543.3007512176409,1
-304.8686470214743,543.4538943003863,1
-305.2336690854281,543.6984758914914,1
-305.5647958731279,544.0110709690489,1
-305.82145935553126,544.4131968335714,1
-305.8912134433631,544.8998246504925,1
-305.75833699456416,545.3446209782269,1
-305.5300089693628,545.7221781779081,1
-305.2803719616495,546.0793388215825,1
-305.02215523622,546.426937187789,1
-304.75553522468545,546.7646823932882,1
-304.48088060785085,547.0925118462183,1
-304.1987821958028,547.4106903306674,1
-303.9101170115173,547.7199622325134,1
-303.61618157173507,548.0218083651271,1
-303.318984658923,548.3189322766848,1
-305.13488358282484,535.7795559174847,2
-305.01429836894386,536.2356249142904,2
-304.9176897909492,536.7025092034601,2
-304.8662282677833,537.1845509493724,2
-304.9210752903018,537.675400586566,2
-305.11296171392314,538.123995692702,2
-305.4360808876809,538.4484550948255,2
-305.8025051022414,538.6870915608015,2
-306.19440630893223,538.8402346430812,2
-306.55942837288603,539.084816234652,2
-306.8905551608186,539.3974113122094,2
-307.1472186429892,539.7995371769648,2
-307.216972730821,540.2861649936531,2
-307.0840962820221,540.7309613211546,2
-306.8557682565879,541.1085185210686,2
-306.6061312491074,541.4656791645102,2
-306.3479145236779,541.8132775309496,2
-306.08129451214336,542.1510227359831,2
-305.8066398955416,542.478852189146,2
-305.5245414832607,542.797030673828,2
-305.2358762989752,543.1063025754411,2
-304.9419408594258,543.4081487080548,2
-304.6447439461481,543.7052726196125,2
