"X-axis","Y-axis","Link"
-305.779033397092,552.603028391255,0
-305.379954753676,552.508599258494,0
-304.980876096059,552.414170145989,0
-304.58179742936,552.319741055137,0
-304.182718748227,552.225311981281,0
-303.783640058013,552.130882929312,0
-303.384561353829,552.036453895504,0
-302.9854826394,551.942024880089,0
-302.586403912166,551.84759588819,0
-302.520585138118,551.535081778187,0
-302.659343000036,551.088692846242,0
-302.798100887565,550.642303917324,0
-302.936858795816,550.195914988872,0
-303.075616729679,549.749526063679,0
-303.214374686126,549.303137137322,0
-303.353132663993,548.85674821632,0
-303.491890666774,548.410359293455,0
-303.630648692837,547.963970373618,0
-303.769406739855,547.517581456341,0
-303.908164812019,547.071192539297,0
-304.232559044147,547.021890497534,0
-304.630380461691,547.129653650103,0
-305.028201864334,547.237416822696,0
-305.426023254637,547.34518001508,0
-305.823844633531,547.45294322446,0
-306.221665995894,547.56070645689,0
-306.619487350108,547.66846970818,0
-306.987723137019,547.713565558894,0
-307.123010314535,547.26523512206,0
-307.258297512773,546.816904688021,0
-307.393584736157,546.368574255845,0
-307.528871982824,545.920243825065,0
-307.664159249747,545.471913396148,0
-307.79944653972,545.023582968395,0
-307.93473385484,544.575252540875,0
-308.070021190448,544.126922116382,0
-308.205308549106,543.678591692587,0
-308.34059593291,543.230261270655,0
-308.066645722603,543.043547052657,0
-307.66879732185,542.936038111104,0
-307.270948908525,542.828529190505,0
-306.87310048216,542.721020288533,0
-306.475252043223,542.613511405885,0
-306.077403591713,542.506002543727,0
-305.679555127164,542.398493699497,0
-305.28170664981,542.29098487529,0
-305.265321112471,541.929949122481,0
-305.389323083451,541.475609389367,0
-305.513325077016,541.021269658813,0
-305.637327092933,540.56692992826,0
-305.761329130968,540.112590200035,0
-305.885331191123,539.658250472508,0
-306.009333273629,539.20391074568,0
-306.133335380582,538.749571019085,0
-306.257337505231,538.295231295284,0
-306.381339654559,537.840891572181,0
-306.505341826007,537.386551849078,0
-306.881229201332,537.45139823691,0
-307.278848892776,537.561039355816,0
-307.676468568854,537.670680492651,0
-308.07408823655,537.780321648344,0
-308.471707888646,537.889962823596,0
-308.869327528635,537.999604019569,0
-309.266947155353,538.109245235333,0
-309.664566768799,538.21888646856,0
