X-axis,Y-axis,Link
-236.8400872962084,501.05668943584897,0
-236.4351934955921,501.9694748383481,0
-236.1662030193256,502.9322196042631,0
-236.0565284809564,503.925684398273,0
-236.09667981730308,504.9200513635296,0
-236.25350413657725,505.9016820369288,0
-236.59443938732147,506.8413609783165,0
-237.06109180254865,507.7156185524073,0
-237.63504529034253,508.53403822123073,0
-238.3046925293748,509.2660901187919,0
-239.06018161878453,509.92066601198167,0
-239.8206988989841,510.5680718964432,0
-240.69349091057663,511.0553782370407,0
-241.566282923799,511.5426845778711,0
-242.4390749385348,512.0299909240566,0
-243.37186341453344,512.3860780003015,0
-244.3113985917298,512.727409256855,0
-245.25093376939185,513.0687405166682,0
-246.1904689471703,513.4100717760157,0
-247.14838698657687,513.6950968280435,0
-234.68816348607632,508.7586475631688,1
-234.28326968546003,509.6714329656679,1
-234.01427920919352,510.6341777315829,1
-233.9046046708243,511.6276425255928,1
-233.944756007171,512.6220094908495,1
-234.10158032644517,513.6036401642486,1
-234.4425155771894,514.5433191056363,1
-234.90916799241657,515.4175766797271,1
-235.48312148021046,516.2359963485505,1
-236.15276871924272,516.9680482461117,1
-236.90825780865245,517.6226241393015,1
-237.66877508885202,518.270030023763,1
-238.54156710044455,518.7573363643605,1
-239.41435911366693,519.2446427051909,1
-240.2871511284027,519.7319490513764,1
-241.21993960440136,520.0880361276213,1
-242.15947478159774,520.4293673841748,1
-243.09900995925977,520.770698643988,1
-244.03854513703823,521.1120299033355,1
-244.9964631764448,521.3970549553633,1
-232.53623967594424,516.4606056904886,2
-232.13134587532795,517.3733910929877,2
-231.86235539906144,518.3361358589027,2
-231.75268086069224,519.3296006529126,2
-231.79283219703893,520.3239676181693,2
-231.9496565163131,521.3055982915685,2
-232.29059176705732,522.2452772329561,2
-232.7572441822845,523.1195348070469,2
-233.33119767007838,523.9379544758704,2
-234.00084490911064,524.6700063734315,2
-234.75633399852038,525.3245822666213,2
-235.51685127871994,525.9719881510828,2
-236.38964329031248,526.4592944916803,2
-237.26243530353486,526.9466008325107,2
-238.13522731827064,527.4339071786962,2
-239.0680157942693,527.7899942549411,2
-240.00755097146566,528.1313255114947,2
-240.9470861491277,528.4726567713078,2
-241.88662132690615,528.8139880306553,2
-242.84453936631272,529.0990130826831,2
-230.38431586581217,524.1625638178084,3
-229.97942206519588,525.0753492203075,3
-229.71043158892937,526.0380939862225,3
-229.60075705056016,527.0315587802324,3
-229.64090838690686,528.0259257454891,3
-229.79773270618102,529.0075564188883,3
-230.13866795692525,529.947235360276,3
-230.60532037215242,530.8214929343667,3
-231.1792738599463,531.6399126031902,3
-231.84892109897856,532.3719645007513,3
-232.6044101883883,533.0265403939411,3
-233.36492746858787,533.6739462784026,3
-234.2377194801804,534.1612526190002,3
-235.11051149340278,534.6485589598306,3
-235.98330350813856,535.1358653060161,3
-236.9160919841372,535.4919523822609,3
-237.8556271613336,535.8332836388145,3
-238.79516233899562,536.1746148986276,3
-239.73469751677408,536.5159461579751,3
-240.69261555618064,536.8009712100029,3
-228.2323920556801,531.8645219451282,4
-227.8274982550638,532.7773073476274,4
-227.5585077787973,533.7400521135423,4
-227.4488332404281,534.7335169075523,4
-227.48898457677478,535.7278838728089,4
-227.64580889604895,536.7095145462081,4
-227.98674414679317,537.6491934875958,4
-228.45339656202034,538.5234510616865,4
-229.02735004981423,539.34187073051,4
-229.6969972888465,540.0739226280712,4
-230.45248637825622,540.7284985212609,4
-231.2130036584558,541.3759044057224,4
-232.08579567004833,541.86321074632,4
-232.9585876832707,542.3505170871504,4
-233.8313796980065,542.8378234333359,4
-234.76416817400514,543.1939105095807,4
-235.7037033512015,543.5352417661343,4
-236.64323852886355,543.8765730259474,4
-237.582773706642,544.2179042852949,4
-238.54069174604857,544.5029293373227,4
-226.08046824554802,539.566480072448,5
-225.67557444493173,540.4792654749472,5
-225.40658396866522,541.4420102408621,5
-225.296909430296,542.4354750348721,5
-225.3370607666427,543.4298420001287,5
-225.49388508591687,544.4114726735279,5
-225.8348203366611,545.3511516149156,5
-226.30147275188827,546.2254091890063,5
-226.87542623968216,547.0438288578298,5
-227.54507347871441,547.775880755391,5
-228.30056256812415,548.4304566485807,5
-229.06107984832371,549.0778625330422,5
-229.93387185991625,549.5651688736398,5
-230.80666387313863,550.0524752144702,5
-231.6794558878744,550.5397815606557,5
-232.61224436387306,550.8958686369006,5
-233.55177954106944,551.2371998934541,5
-234.49131471873147,551.5785311532672,5
-235.43084989650993,551.9198624126147,5
-236.3887679359165,552.2048874646425,5
