x,y,yaw
-313.7666893248679,497.7890083945822,1.284544569458749
-313.2160992434947,499.65963034913875,1.2845446930353013
-312.665509401937,501.5302523423452,1.2845448193747304
-312.1149198048515,503.40087437746115,1.2845449430861473
-311.5643304475816,505.2714964521583,1.2845450690210134
-311.01374133478384,507.14211856597103,1.284545192901009
-310.46315246180166,509.0127407205291,1.2845453189707399
-309.91256383329164,510.88336291513406,1.2845454436927526
-309.3619754469255,512.7539851483889,1.2845455678997442
-308.81138730049133,514.6246074242517,1.2845456938447866
-308.2607993984129,516.4952297396958,1.2845458173437891
-307.7102117362665,518.3658520928584,1.2845459424703867
-307.15962431626394,520.2364744874649,1.2845460685840113
-306.60903714061715,522.1070969228167,1.2845461933060476
-306.0584502071142,523.9777193968184,1.2845463174691907
-305.5078635136597,525.8483419127297,1.2845464432558427
-304.9572770644445,527.7189644675236,1.2845465671594372
-304.4066908551613,529.5895870628301,1.2845466933640668
-303.85610489035025,531.4602096991148,1.2845468168732568
-303.3055191653548,533.3308323735837,1.2845469431116083
-302.7549336848315,535.2014550892636,1.2845470668803618
-302.20434844424017,537.0720778445248,1.284547193027735
-301.6537634480046,538.9427006407641,1.2845473177835205
-301.1031786939129,540.8133234758861,1.284547441788283
-300.5525941797532,542.6839463522192,1.2845475665777901
-300.0020099077374,544.5545692676678,1.2845476925903232
-299.4514258800773,546.4251922231633,1.2845478166962383
-298.9008420923492,548.2958152205683,1.284547942472782
-298.35025854897685,550.1664382563904,1.284548067454432
-297.7996752478648,552.0370613322593,1.284548191199662
-297.2490921865683,553.9076844479423,1.2845483164510303
-296.6985093675321,555.7783076055348,1.2845484420590207
-296.14792679285165,557.6489308003802,1.2845485671958528
-295.59734446019866,559.5195540371351,1.2845486911230692
-295.04676236759406,561.3901773141697,1.284548817000782
-294.4961805193452,563.2608006303199,1.2845489409718753
-293.94559891102836,565.1314239874482,1.2845490668731543
-293.39501754718367,567.0020473834593,1.2845491919088639
-292.84443642536644,568.8726708206814,1.284549315778827
-292.2938555434812,570.7432942981832,1.284549315778827
-300.29003158863634,573.3116646164563,-1.8517283627761199
-300.83108610729687,571.4366730004549,-1.8517284845697897
-301.3721408620477,569.5616814235691,-1.8517286081687516
-301.91319585742895,567.686689882772,-1.8517287314152788
-302.4542510911124,565.8116983836517,-1.8517288542560184
-302.9953065632144,563.9367069229484,-1.8517289771629115
-303.536362273735,562.0617155011278,-1.8517290998140135
-304.07741822255775,560.1867241167929,-1.851729221773055
-304.6184744074708,558.3117327727377,-1.851729345760096
-305.1595308331307,556.4367414670996,-1.8517294688081307
-305.7005874970928,554.5617502017412,-1.851729591260746
-306.241644399357,552.6867589724716,-1.8517297144984042
-306.78270154003985,550.811767784413,-1.8517298372729571
-307.32375891914126,548.9367766343057,-1.8517299591988992
-307.86481653433293,547.0617855242454,-1.8517300828639724
-308.4058743901551,545.1867944507394,-1.8517302060685379
-308.9469324843958,543.3118034182116,-1.8517303287526816
-309.4879908169387,541.4368124234024,-1.851730451800688
-310.02904938778374,539.561821468873,-1.8517305745002197
-310.5701081971638,537.6868305513635,-1.851730696368825
-311.1111672425177,535.811839673901,-1.8517308203558214
-311.6522265286185,533.9368488348555,-1.8517309433045774
-312.19328605302144,532.0618580353912,-1.851731065988699
-312.73434581572656,530.1868672736455,-1.8517311890520791
-313.27540581696667,528.311876551481,-1.851731311844272
-313.8164660563925,526.4368858681992,-1.8517314336620936
-314.3575265320251,524.5618952238001,-1.8517315575586732
-314.8985872482881,522.6869046175852,-1.8517316805978021
-315.4396482029697,520.8119140511844,-1.8517318023009817
-315.98070939362515,518.9369235236663,-1.851731926188708
-316.5217708250275,517.0619330338668,-1.8517320492035894
-317.062832494732,515.1869425841141,-1.8517321720442306
-317.6038944028551,513.3119521727785,-1.8517322947944732
-318.1449565492803,511.43696179962717,-1.851732417833581
-318.68601893412415,509.56197146628983,-1.851732540806527
-319.22708155738655,507.6869811723009,-1.8517326622450494
-319.7681444166228,505.811990915332,-1.8517327865958557
-320.30920751660597,503.9370006993413,-1.8517329093791592
-320.8502708548913,502.06201052176766,-1.8517330320874588
-321.39133443159517,500.18702038167976,-1.8517330320874588
