X-axis,Y-axis,Link
-319.3041279000463,485.07958612334915,0
-319.0249502285151,486.0130849205889,0
-318.74577262054663,486.946583728306,0
-318.46659507160075,487.880082545802,0
-318.18741758621763,488.81358137284406,0
-317.9082401598571,489.74708021245897,0
-317.6290627948474,490.6805790620856,0
-317.3498854934005,491.6140779207926,0
-317.07070825097617,492.54757678997703,0
-316.7915310721146,493.4810756701045,0
-316.5123539522756,494.4145745593123,0
-316.23317689599935,495.3480734603945,0
-315.9539998987457,496.2815723703243,0
-315.6748229651712,497.2150712911971,0
-315.39564609050285,498.14857022301294,0
-315.1164692771854,499.0820691639092,0
-314.96757961809635,499.3568373876624,1
-314.7058614002308,500.2982593437191,1
-314.44414324022364,501.2396813100204,1
-314.1824251380749,502.18110328447074,1
-313.9207070959965,503.12252526846714,1
-313.65898910944816,504.0639472627081,1
-313.39727118075825,505.0053692650981,1
-313.13555330992676,505.94679127656855,1
-312.8738354969537,506.8882132957224,1
-312.6121177417226,507.8296353262849,1
-312.35040004656184,508.77105736522935,1
-312.0886824069312,509.7124794127885,1
-311.82696482515894,510.6539014710579,1
-311.5652473012451,511.5953235370107,1
-311.3035298351897,512.5367456134409,1
-311.0418124292046,513.4781676973216,1
-310.78009507863317,514.4195897921454,1
-310.5183777860366,515.3610118948855,1
-310.256660551182,516.3024340069387,1
-309.99494337430224,517.2438561273739,1
-309.7332262573764,518.1852782592177,1
-309.4715091959806,519.1267003989778,1
-309.2097921924433,520.0681225489825,1
-308.94807524676435,521.0095447071362,1
-308.68635835894383,521.9509668743704,1
-308.4246415310772,522.8923890506849,1
-308.1629247588571,523.8338112363126,1
-307.90120804449543,524.7752334319521,1
-307.63949138787575,525.7166556359734,1
-307.3777747891145,526.6580778486095,1
-307.11605824821163,527.599500071723,1
-306.85434176726267,528.5409223039169,1
-306.59262534207664,529.4823445442598,1
-306.3309089745162,530.4237667941488,1
-306.0691926649306,531.3651890528854,1
-305.807476413087,532.3066113220993,1
-305.5457602213137,533.2480335982982,1
-305.2840440851869,534.1894558852073,1
-305.0223280068021,535.1308781811967,1
-304.76061198627576,536.0723004871979,1
-304.4988960236078,537.0137228018139,1
-304.23718012101017,537.9551451248117,1
