X,Y
-301.894932377618,549.926306813955
-301.82914575075847,550.1615054901338
-301.76335912389897,550.3967041663125
-301.69757249703946,550.6319028424913
-301.63178587017995,550.8671015186701
-301.5659992578435,551.1023001972935
-301.50021264550696,551.337498875917
-301.4344260331705,551.5726975545406
-301.36863942083403,551.807896233164
-301.3028528224675,552.0430949137665
-301.237066224101,552.278293594369
-301.17127962573454,552.5134922749716
-301.105493027368,552.748690955574
-301.03970644410606,552.9838896390286
-300.97391986084403,553.219088322483
-300.908133277582,553.4542870059374
-300.84234669432004,553.689485689392
-300.77656012499904,553.9246843749422
-300.71077355567803,554.1598830604926
-300.644986986357,554.3950817460428
-300.579200417036,554.6302804315931
-300.51341386226704,554.8654791192386
-300.447627307498,555.100677806884
-300.381840752729,555.3358764945295
-300.31605419796,555.571075182175
-300.250267110416,555.8062736310528
-300.184480022872,556.0414720799306
-300.118692935328,556.2766705288083
-300.052905847784,556.511868977686
-299.98710444793676,556.7470611257593
-299.9213030480895,556.9822532738326
-299.85550164824224,557.2174454219058
-299.789700248395,557.4526375699791
-299.7238988630705,557.6878297201475
-299.65809747774597,557.923021870316
-299.5922960924215,558.1582140204845
-299.526494707097,558.393406170653
-299.4606933362955,558.6285983236737
-299.394891965494,558.8637904766945
-299.3290905946925,559.0989826297152
-299.263289223891,559.334174782736
-299.19748786764126,559.5693669376777
-299.1316865113915,559.8045590926195
-299.0658851551417,560.0397512475613
-299.000083798892,560.274943402503
-298.93428245716495,560.5101355599476
-298.868481115438,560.745327717392
-298.802679773711,560.9805198748365
-298.736878431984,561.2157120322811
-298.671077105333,561.4509041918793
-298.60527577868197,561.6860963514775
-298.539474452031,561.9212885110758
-298.47367312538,562.156480670674
-298.40787181272776,562.391672832717
-298.34207050007547,562.62686499476
-298.2762691874232,562.8620571568031
-298.210467874771,563.097249318846
-298.1446665766415,563.3324414831591
-298.078865278512,563.567633647472
-298.01306398038247,563.8028258117849
-297.947262682253,564.038017976098
-297.947262682253,564.038017976098
