"X-axis","Y-axis","Link"
-316.03995710751,489.027753111441,0
-334.25083164766,423.71277291514,0
-310.647910454194,417.405095702037,0
-298.236029482214,461.253626019694,0
-254.48923589359,448.943481776863,0
-248.385032136459,470.511668385472,0
-316.03995710751,489.027753111441,0
-246.350297551136,476.514135412173,1
-314.220853084768,494.837167057302,1
-285.798714327393,594.121794458479,1
-250.01281980495,583.744648071006,1
-251.233660555561,579.319100348279,1
-220.254826490302,570.620609994512,1
-226.816845530178,547.272030625259,1
-266.112657213234,558.106992295012,1
-277.863249445567,516.445801654365,1
-237.728109743795,505.076722156256,1
-246.350297551136,476.514135412173,1
-140.2897572777,301.120014136191,2
-185.155654889066,329.351956512313,2
-227.427265903796,309.208084117156,2
-192.175489210058,227.716963963117,2
-172.184221905773,226.496123210993,2
-151.429929133621,240.688396946061,2
-140.2897572777,301.120014136191,2
-160.662537316792,642.955424510874,3
-72.4567930310732,615.639112699777,3
-67.9549427621532,611.366170069901,3
-62.6900670215255,613.350036290241,3
-46.5902296135901,668.669382837834,3
-47.2006499884883,680.267369976267,3
-57.8830065616639,699.343006715644,3
-125.029247886618,746.803190924227,3
-130.370426173438,746.803190922597,3
-141.663203123375,739.93596169469,3
-170.505565874046,655.545344759012,3
-168.826909840223,648.830720627448,3
-160.662537316792,642.955424510874,3
