X-axis,Y-axis,Yaw
962765.386350862,1958988.0208495543,-1.7656809096091362
962765.1927718254,1958987.040155774,-1.765680945602756
962764.9991927536,1958986.0594620013,-1.7656809629155248
962764.8056136648,1958985.078768232,-1.7656809637874442
962764.6120345748,1958984.098074461,-1.7656809677593572
962764.4184554812,1958983.117380692,-1.7656810654180894
962764.224876292,1958982.1366869432,-1.7656810641461822
962764.0312971036,1958981.1559931915,-1.7656810631659714
962763.837717916,1958980.1752994389,-1.7656810625195807
962763.6441387295,1958979.1946056888,-1.7656810612897973
962763.450559544,1958978.213911937,-1.7656811608066236
962763.2569802606,1958977.233218203,-1.7656811943798183
962763.0634009443,1958976.252524476,-1.765681191087474
962762.8698216316,1958975.2718307497,-1.7656811921908857
962762.6762423172,1958974.2911370208,-1.7656811915715211
962762.4826630036,1958973.3104432928,-1.765681190248544
962762.2890836912,1958972.329749564,-1.7656812308093979
962762.0955043392,1958971.349055844,-1.765681346382183
962761.9019248736,1958970.3683621448,-1.765681343408561
962761.7083454112,1958969.3876684469,-1.7656813441692063
962761.5147659476,1958968.4069747464,-1.7656813412857961
962761.3211864872,1958967.4262810475,-1.7656813401702678
962761.1276070277,1958966.445587347,-1.7656813391689945
962760.9340275688,1958965.464893645,-1.7656813771049562
962760.7404480728,1958964.4841999505,-1.7656815022392236
962760.5468684544,1958963.503506282,-1.7656814985228462
962760.3532888392,1958962.5228126105,-1.7656814979485878
962760.1597092248,1958961.54211894,-1.7656814967428474
962759.9661296112,1958960.5614252675,-1.7656814958258227
962759.7725499988,1958959.580731596,-1.7656814972900805
962759.5789703848,1958958.600037924,-1.7656815254781728
962759.3853907428,1958957.619344256,-1.7656816489888214
962759.1918109802,1958956.6386506143,-1.7656816499720138
962758.9982312166,1958955.6579569725,-1.7656816487903169
962758.8046514536,1958954.677263328,-1.7656816456362718
962758.611071694,1958953.696569684,-1.765681646938187
962758.417491933,1958952.71587604,-1.7656816436277623
962758.2239121752,1958951.735182395,-1.7656817458567102
962758.0303323172,1958950.7544887704,-1.7656817789999082
962757.8367524266,1958949.7737951512,-1.765681775485016
962757.6431725392,1958948.7931015303,-1.7656817769462925
962757.4495926504,1958947.81240791,-1.76568177664267
962757.2560127624,1958946.831714292,-1.7656818182226848
962757.0624328328,1958945.8510206777,-1.7656818771005622
962756.8688528456,1958944.870327076,-1.765681876318856
962756.6752728596,1958943.889633476,-1.7656818752514136
962756.4816928742,1958942.9089398736,-1.7656819199254616
962756.288112845,1958941.92824628,-1.7555899960574632
962756.1044497952,1958940.945703656,-1.7259883032169492
962755.9499899189,1958939.9584242096,-1.6907442315111298
962755.8303753218,1958938.96599008,-1.6907442309092804
962755.7107607252,1958937.9735559493,-1.6716363765290485
962755.6101820891,1958936.979531388,-1.617558851044035
962755.5634545326,1958935.9810076333,-1.6175588491391604
962755.516726978,1958934.9824838776,-1.6175588493317088
962755.4699994233,1958933.9839601235,-1.617558847521391
962755.4232718702,1958932.985436368,-1.5539831509267683
962755.4400615336,1958931.9869289235,-1.5235202575994296
962755.4873018708,1958930.9884292951,-1.5235202575946776
962755.534542208,1958929.9899296693,-1.5235202555337624
962755.5817825472,1958928.9914300428,-1.5235202555447698
962755.6290228864,1958927.992930416,-1.5235202532622023
962755.676263228,1958926.9944307883,-1.402146806777198
962755.8440491388,1958926.0090017929,-1.4020584266003497
962756.0119230436,1958925.0235823344,-1.402058424638478
962756.17979695,1958924.0381628787,-1.4020584253664299
962756.3476708556,1958923.0527434228,-1.402058421841476
962756.5155447646,1958922.067323968,-1.402058422454622
962756.683418673,1958921.081904513,-1.3117186124281417
962756.938740035,1958920.118552112,-1.2451625421954007
962757.2585266788,1958919.1714672928,-1.2451625408656026
962757.5783133234,1958918.224382475,-1.2451625402007036
962757.8980999686,1958917.277297658,-1.2451625366999362
962758.2178866168,1958916.3302128424,-1.2451625389124525
962758.5376732632,1958915.3831280256,-1.2451625373175679
962758.8574599102,1958914.436043212,-1.1170506510939258
962759.2936529396,1958913.5416243265,-1.046681649067806
962759.7939077358,1958912.6761890112,-1.0466816512323887
962760.29416253,1958911.8107536952,-1.0466816476690377
962760.7944173262,1958910.9453183827,-1.0466816453028005
962761.2946721248,1958910.079883071,-1.046681647467383
962761.7949269213,1958909.2144477584,-1.0466816446034164
962762.2951817198,1958908.349012448,-0.9794047788222376
962762.8493029586,1958907.523902875,-0.8096706022804018
962763.5387754148,1958906.80012054,-0.809670603681932
962764.22824787,1958906.076338204,-0.8096706034529435
962764.9177203248,1958905.352555869,-0.8096706021837043
962765.6071927792,1958904.628773536,-0.8096706006898556
962766.296665235,1958903.904991204,-0.8096706010351462
962766.98613769,1958903.181208872,-0.8096705988826943
962767.675610147,1958902.4574265413,-0.7221221671868607
962768.4202063136,1958901.8015642369,-0.553874629722939
962769.2703730492,1958901.275779444,-0.5538746315749581
962770.1205397816,1958900.749994651,-0.5538746293919476
962770.9707065156,1958900.2242098595,-0.5538746271842278
962771.8208732489,1958899.698425071,-0.553874628617834
962772.6710399817,1958899.1726402813,-0.5538746265938832
962773.5212067134,1958898.6468554945,-0.5538746269248745
962774.3713734468,1958898.1210707063,-0.5538746260791227
962775.2215401772,1958897.595285921,-0.4547331671966267
962776.113147922,1958897.159373454,-0.31023415921616304
962777.0650448204,1958896.8542089104,-0.31023415730802606
962778.01694172,1958896.5490443683,-0.3102341582833003
962778.9688386208,1958896.2438798249,-0.3102341573181322
962779.9207355182,1958895.9387152835,-0.3102341574163092
