X-axis,Y-axis,Yaw
0.0,4.423782229423523e-09,-1.7656809096091362
-0.19357903662603348,-0.980693775927648,-1.765680945602756
-0.38715810840949416,-1.9613875485956669,-1.7656809629155248
-0.5807371971895918,-2.942081318004057,-1.7656809637874442
-0.7743162871338427,-3.9227750888094306,-1.7656809677593572
-0.9678953808033839,-4.90346885798499,-1.7656810654180894
-1.161474569933489,-5.8841626066714525,-1.7656810641461822
-1.3550537583651021,-6.8648563583847135,-1.7656810631659714
-1.548632945981808,-7.845550111029297,-1.7656810625195807
-1.7422121324343607,-8.826243861112744,-1.7656810612897973
-1.9357913179555908,-9.806937612826005,-1.7656811608066236
-2.1293706013821065,-10.787631346844137,-1.7656811943798183
-2.322949917637743,-11.76832507387735,-1.765681191087474
-2.51652923040092,-12.74901880021207,-1.7656811921908857
-2.7101085447939113,-13.729712529107928,-1.7656811915715211
-2.9036878583719954,-14.710406257072464,-1.765681190248544
-3.0972671707859263,-15.691099985968322,-1.7656812308093979
-3.2908465227810666,-16.671793706016615,-1.765681346382183
-3.484425988397561,-17.65248740511015,-1.765681343408561
-3.6780054507544264,-18.633181103039533,-1.7656813441692063
-3.8715849143918604,-19.613874803530052,-1.7656813412857961
-4.065164374769665,-20.594568502390757,-1.7656813401702678
-4.258743834332563,-21.575262202881277,-1.7656813391689945
-4.452323293196969,-22.55595590500161,-1.7656813771049562
-4.645902789197862,-23.536649599438533,-1.7656815022392236
-4.839482407551259,-24.517343267798424,-1.7656814985228462
-5.033062022761442,-25.498036939417943,-1.7656814979485878
-5.2266416371567175,-26.47873060987331,-1.7656814967428474
-5.420221250737086,-27.459424282424152,-1.7656814958258227
-5.613800863153301,-28.44011795381084,-1.7656814972900805
-5.807380477199331,-29.42081162589602,-1.7656815254781728
-6.000960119185038,-30.40150529402308,-1.7656816489888214
-6.194539881777018,-31.382198935607448,-1.7656816499720138
-6.388119645416737,-32.362892577424645,-1.7656816487903169
-6.581699408357963,-33.34358622180298,-1.7656816456362718
-6.77527916803956,-34.32427986594848,-1.765681646938187
-6.968858929001726,-35.304973509861156,-1.7656816436277623
-7.162438686820678,-36.28566715493798,-1.7656817458567102
-7.356018544756807,-37.26636077952571,-1.7656817789999082
-7.549598435405642,-38.24705439875834,-1.765681775485016
-7.743178322794847,-39.227748019620776,-1.7656817769462925
-7.9367582115810364,-40.208441640017554,-1.76568177664267
-8.130338099552318,-41.189135257853195,-1.7656818182226848
-8.323918029200286,-42.169828872196376,-1.7656818771005622
-8.517498016357422,-43.1505224739667,-1.765681876318856
-8.711078002350405,-44.131216073874384,-1.7656818752514136
-8.904657987761311,-45.1119096763432,-1.7656819199254616
-9.098238016944379,-46.09260326996446,-1.7555899960574632
-9.281901066773571,-47.075145893963054,-1.7259883032169492
-9.436360943131149,-48.062425340292975,-1.6907442315111298
-9.555975540191866,-49.054859469877556,-1.6907442309092804
-9.675590136786923,-50.04729360062629,-1.6716363765290485
-9.776168772834353,-51.041318161878735,-1.617558851044035
-9.8228963293368,-52.039841916644946,-1.6175588491391604
-9.869623883976601,-53.03836567234248,-1.6175588493317088
-9.916351438732818,-54.0368894264102,-1.617558847521391
-9.963078991742805,-55.0354131818749,-1.5539831509267683
-9.946289328392595,-56.03392062638886,-1.5235202575994296
-9.899048991152085,-57.03242025477812,-1.5235202575946776
-9.851808654027991,-58.030919880606234,-1.5235202555337624
-9.80456831480842,-59.02941950713284,-1.5235202555447698
-9.75732797558885,-60.02791913389228,-1.5235202532622023
-9.710087634040974,-61.026418761583045,-1.402146806777198
-9.542301723151468,-62.011847757035866,-1.4020584266003497
-9.374427818343975,-62.99726721551269,-1.402058424638478
-9.206553912023082,-63.98268667119555,-1.4020584253664299
-9.038680006400682,-64.96810612711124,-1.402058421841476
-8.870806097402237,-65.95352558186278,-1.402058422454622
-8.70293218898587,-66.93894503684714,-1.3117186124281417
-8.447610826930031,-67.9022974378895,-1.2451625421954007
-8.127824183204211,-68.84938225708902,-1.2451625408656026
-7.808037538547069,-69.79646707489155,-1.2451625402007036
-7.488250893424265,-70.7435518919956,-1.2451625366999362
-7.168464245158248,-71.69063670746982,-1.2451625389124525
-6.848677598754875,-72.63772152434103,-1.2451625373175679
-6.5288909517694265,-73.58480633795261,-1.1170506510939258
-6.0926979223731905,-74.47922522341833,-1.046681649067806
-5.592443126137368,-75.34466053871438,-1.0466816512323887
-5.092188331997022,-76.21009585470892,-1.0466816476690377
-4.5919335357612,-77.07553116721101,-1.0466816453028005
-4.091678737197071,-77.9409664790146,-1.046681647467383
-3.5914239407284185,-78.80640179151669,-1.0466816446034164
-3.09116914216429,-79.6718371019233,-0.9794047788222376
-2.5370479034027085,-80.49694667500444,-0.8096706022804018
-1.8475754471728578,-81.22072900994681,-0.809670603681932
-1.158102991990745,-81.9445113458205,-0.8096706034529435
-0.4686305371578783,-82.6682936809957,-0.8096706021837043
0.22084191720932722,-83.3920760138426,-0.8096706006898556
0.9103143729735166,-84.115858345991,-0.8096706010351462
1.599786828039214,-84.83964067790657,-0.8096705988826943
2.2892592849675566,-85.56342300865799,-0.7221221671868607
3.033855451620184,-86.21928531304002,-0.553874629722939
3.884022187208757,-86.74507010588422,-0.5538746315749581
4.734188919654116,-87.27085489896126,-0.5538746293919476
5.5843556536128744,-87.79663969040848,-0.5538746271842278
6.434522386873141,-88.3224244788289,-0.553874628617834
7.284689119667746,-88.84820926864631,-0.5538746265938832
8.134855851414613,-89.37399405543692,-0.5538746269248745
8.985022584791295,-89.89977884362452,-0.5538746260791227
9.835189315257594,-90.42556362901814,-0.4547331671966267
10.72679705999326,-90.86147609585896,-0.31023415921616304
11.678693958441727,-91.16664063953795,-0.31023415730802606
12.630590858054347,-91.47180518158711,-0.3102341582833003
13.582487758831121,-91.77696972503327,-0.3102341573181322
14.53438465623185,-92.08213426638395,-0.3102341574163092
15.486281552584842,-92.3872988075018,-0.31023415903153917
16.43817844800651,-92.69246335001662,-0.31023415545565447
17.390075344243087,-92.997627889039,-0.3102341566018358
18.341972237452865,-93.3027924282942,-0.310234156317411
19.293869131593965,-93.6079569675494,-0.31023415504922974
20.245766024803743,-93.91312150517479,-0.13663457158787576
21.233521274407394,-94.0489292058628,-0.10706786953334843
22.22741364920512,-94.15575164463371,-0.10706786826828432
23.22130602283869,-94.26257408200763,-0.10706786766064288
24.215198395657353,-94.36939651868306,-0.10706786640802407
25.20909076719545,-94.4762189539615,-0.10706786764062699
26.20298313803505,-94.5830413904041,-0.10706786847228407
27.196875507594086,-94.6898638275452,-0.107067866029273
28.190767874009907,-94.79668626189232,-0.1070678665995785
29.18466024158988,-94.90350869693793,-0.10706786788196268
30.178552608005702,-95.0103311331477,-0.05060258702384222
31.172360153403133,-95.06066333386116,0.11007083931041879
32.165927252266556,-94.95085675362498,0.11007083946269777
33.15949434763752,-94.84105017362162,0.11007084006767817
34.15306144382339,-94.73124359291978,0.11007083744306888
35.146628538612276,-94.6214370150119,0.11007083848548416
36.1401956344489,-94.51163043593988,0.11007083913916292
37.13376272644382,-94.40182385663502,0.11007083880407187
38.127329817274585,-94.29201727779582,0.11007083965335568
39.12089690880384,-94.1822106980253,0.17856562277327287
40.09906047559343,-94.00566387199797,0.3435816671449435
41.04025352280587,-93.6689314963296,0.3435816665886372
41.98144657036755,-93.3321991211269,0.3435816649930377
42.922639614203945,-92.995466748951,0.34358166641049254
43.86383265838958,-92.65873437514529,0.34358166463995965
44.805025703273714,-92.32200200296938,0.3435816653461158
45.74621874606237,-91.98526963079348,0.3435816661146551
46.68741178722121,-91.64853725838475,0.4377856529185757
47.58713196765166,-91.22739784000441,0.5698153878560749
48.42880959296599,-90.68812814750709,0.5698153852190583
49.27048722025938,-90.1488584568724,0.5698153869230357
